aluno_id,nome_aluno,email_aluno,curso,status,turma,sexo,idade,trabalha,renda_familiar,acompanhamento_medico,tem_filho,estado_civil,semestre,bimestre,aula_1,professor_1,notas_1,faltas_1,desempenho_1,aula_2,professor_2,notas_2,faltas_2,desempenho_2,aula_3,professor_3,notas_3,faltas_3,desempenho_3,aula_4,professor_4,notas_4,faltas_4,desempenho_4,aula_5,professor_5,notas_5,faltas_5,desempenho_5,risco_evasao
1597,Daniela Moraes,dfernandes@example.com,Moda,Concluso,A,Masculino,43,0,,0,1,Amasiado(a),7,1,Probabilidade e Estatística,Lívia Ramos,4.64,3,Ruim,Cálculo,Thales Pimenta,6.05,14,Ruim,Teoria dos Números,Dr. Bernardo Vieira,9.15,1,Excelente,Álgebra Linear,Dr. Renan Melo,5.17,4,Regular,Geometria,Gabriel Viana,3.02,3,Ruim,1
1598,João Felipe Vargas,diogoazevedo@example.com,concluido,Concluso,A,Outro,61,0,5651,1,1,,6,2,Estruturas,Bryan Pinto,4.34,9,Ruim,Planejamento Urbano,Helena da Mota,8.98,11,Ruim,História da Arquitetura,Gabrielly Nascimento,5.19,13,Ruim,Desenho Arquitetônico,Helena Alves,4.34,6,Ruim,Construção Civil,Jade Leão,8.51,2,Excelente,1
1599,Cauã Sales,nunesbella@example.com,Geografia,Concluso,D,Masculino,28,0,6370,0,1,Divorciado(a),4,1,Gestão de Turismo,Theo Alves,7.11,6,Regular,Marketing Turístico,Gustavo da Rosa,0.02,9,Ruim,Turismo Cultural,Valentina Duarte,1.85,8,Ruim,História do Turismo,Sophia Duarte,5.94,11,Ruim,Planejamento de Turismo,João Pedro Pires,7.69,11,Ruim,0
1600,Dr. Luiz Otávio Melo,isadora25@example.net,Cinema,Concluso,B,Feminino,36,1,2077,1,1,Amasiado(a),1,1,Sistemas Operacionais,Mariah Vasconcelos,8.93,15,Ruim,Programação,Emanuella Ribeiro,5.9,4,Regular,Banco de Dados,Liz Viana,8.1,5,Bom,Segurança da Informação,Manuella Gomes,0.99,8,Ruim,Engenharia de Software,Cauê Viana,3.96,6,Ruim,1
1601,Melissa Silva,raelda-conceicao@example.net,Teatro,Matriculado,C,Feminino,29,1,3410,0,1,Amasiado(a),7,1,Óptica,Lunna Gonçalves,9.73,1,Excelente,Mecânica,Amanda Campos,8.43,5,Bom,Física Nuclear,Cecília da Mota,7.63,1,Bom,Eletromagnetismo,Larissa Fernandes,4.81,15,Ruim,Termodinâmica,Srta. Sophie Silva,2.93,12,Ruim,0
1602,Luana Rios,hfonseca@example.com,Teologia,Concluso,A,Outro,59,0,9259,1,0,Casado(a),3,4,Comunicação e Mídia,Isis Ramos,4.23,6,Ruim,Ética Jornalística,Valentim Santos,8.71,11,Ruim,Produção de Conteúdo,Luiz Miguel Nunes,1.71,4,Ruim,Redação Jornalística,Raquel da Paz,4.41,1,Ruim,Edição de Vídeo,Miguel Pinto,4.63,3,Ruim,1
1603,Luara Andrade,ana69@example.net,Biologia,Trancado,B,Masculino,51,0,3126,1,0,Solteiro(a),4,3,Prática Instrumental,Heloisa Pacheco,2.52,1,Ruim,Teoria Musical,Sofia Almeida,1.22,6,Ruim,História da Música,Daniela Brito,1.62,8,Ruim,Composição Musical,Anna Liz Novaes,6.05,2,Regular,Arranjo Musical,André Borges,9.98,4,Bom,0
1604,Samuel Moraes,maysamendonca@example.com,Serviço Social,Concluso,D,Feminino,57,1,951,0,1,Casado(a),5,4,Anatomia Dental,Henry Peixoto,0.79,0,Ruim,Implantes,Sr. Oliver Marques,9.37,4,Bom,Periodontia,Mathias Peixoto,2.82,9,Ruim,Radiologia Odontológica,Josué Fogaça,2.11,1,Ruim,Clínica Odontológica,Ana Vitória Castro,3.27,15,Ruim,1
1605,Stella Albuquerque,costamaria-fernanda@example.net,Música,Trancado,B,Masculino,38,0,3761,1,1,Amasiado(a),7,2,Marketing Digital,Mathias Souza,6.57,13,Ruim,Comunicação Publicitária,Maria Eduarda Monteiro,7.07,8,Regular,Comportamento do Consumidor,Ana Laura Nascimento,6.92,6,Regular,Relações Públicas,Dr. Otto Cardoso,1.27,4,Ruim,Publicidade Criativa,Asafe Ribeiro,2.36,12,Ruim,1
1606,Alexandre Pastor,abreuluiz-gustavo@example.org,Engenharia Química,Cancelado,D,Masculino,,0,1936,1,0,Amasiado(a),3,1,Fisioterapia,Laura Freitas,2.06,10,Ruim,Psicologia Clínica,Mariane Correia,9.13,14,Ruim,Desenvolvimento Humano,André Pastor,7.36,4,Bom,Avaliação Terapêutica,João Guilherme Novais,0.65,1,Ruim,Técnicas de Reabilitação,Larissa da Rosa,2.76,13,Ruim,1
1607,Hellena Mendonça,leaomaria-flor@example.org,1233E,Concluso,A,Masculino,36,1,6589,0,1,Divorciado(a),4,2,Cenografia,Lunna Garcia,6.45,12,Ruim,História do Teatro,Samuel Rocha,3.48,2,Ruim,Direção Teatral,Pedro Henrique da Rocha,2.51,11,Ruim,Iluminação Teatral,Davi Lucas Vasconcelos,0.89,12,Ruim,Roteiro Teatral,Anna Liz Carvalho,1.56,0,Ruim,1
1608,Brenda Alves,lunnafreitas@example.com,,Matriculado,C,Feminino,40,1,-2349234,0,1,Relacioname,3,3,Máquinas Elétricas,Sophia Novaes,3.67,7,Ruim,Circuitos Elétricos,Mariana Sá,4.16,7,Ruim,Eletrônica,Sra. Heloisa Moura,6.51,3,Regular,Transformadores,Augusto Ramos,9.56,15,Ruim,Sistemas Elétricos,Catarina Rios,0.14,7,Ruim,1
1609,Heitor das Neves,ysampaio@example.com,email@gmail.com,Trancado,C,Feminino,39,1,2503,0,1,Viúvo(a),8,4,Radiologia Odontológica,Ana Alves,8.01,0,Excelente,Periodontia,Mirella Leão,4.99,3,Ruim,Clínica Odontológica,Anthony Gabriel Oliveira,4.05,15,Ruim,Anatomia Dental,Sra. Vitória Albuquerque,7.13,0,Bom,Implantes,Ana Sophia Moraes,3.74,13,Ruim,1
1610,Sr. Davi Pimenta,apolloribeiro@example.com,Fonoaudiologia,Matriculado,B,Masculino,33,1,6897,0,1,Separado(a),2,2,Reabilitação Fonoaudiológica,Otávio Porto,8.58,12,Ruim,Audiologia,Noah Ribeiro,6.37,10,Regular,Anatomia e Fisiologia,Sra. Sophie das Neves,7.76,2,Bom,Psicologia do Desenvolvimento,Lívia Sales,5.08,6,Regular,Fonologia,Benicio Gomes,0.27,12,Ruim,1
1611,Arthur Gabriel Mendonça,novaesmarina@example.com,Educação Física,Trancado,D,Outro,35,1,5560,0,1,Viúvo(a),6,4,Redes de Dados,Maria Julia Sá,6.38,1,Regular,Segurança em Redes,José Araújo,8.97,8,Regular,Arquitetura de Redes,Maria Vitória Campos,5.74,15,Ruim,Administração de Redes,Lunna Correia,0.02,1,Ruim,Protocolos de Comunicação,Maria Isis Viana,5.29,10,Regular,1
1612,Murilo da Mota,ribeirojoana@example.com,Biomedicina,Trancado,B,Feminino,44,0,4062,1,0,Amasiado(a),8,4,Topografia,Dr. Vicente Ferreira,6.73,7,Regular,Materiais de Construção,Hellena Novais,6.82,2,Regular,Mecânica dos Solos,Rael Martins,3.43,2,Ruim,Construção Civil,Alexia Duarte,7.92,2,Bom,Cálculo Estrutural,Sr. José Miguel Cardoso,3.36,14,Ruim,1
1613,Renan Melo,ifonseca@example.org,Terapia Ocupacional,Cancelado,A,Masculino,17,0,-1000,1,1,Viúvo(a),5,1,Gestão de Hospedagem,Sra. Sarah Silva,9.68,15,Ruim,Marketing de Hotelaria,Dr. Bernardo Caldeira,4.1,12,Ruim,Gestão de Alimentos e Bebidas,Bento Teixeira,8.52,11,Ruim,Gestão de Hotelaria,Ana Cecília Abreu,5.88,3,Regular,Hospitalidade,Sr. Bruno Lima,4.24,3,Ruim,1
1614,Fernanda Vasconcelos,asales@example.com,Turismo,Cancelado,D,Feminino,23,0,7463,0,1,Solteiro(a),8,2,Gramática,Rafaela Cavalcanti,7.42,3,Bom,Literatura Brasileira,Dr. Rael Martins,1.2,3,Ruim,Literatura Portuguesa,Luiz Henrique Machado,7.96,11,Ruim,Linguística,Nina Lima,8.19,15,Ruim,Produção Textual,Srta. Melissa Teixeira,0.35,14,Ruim,0
1615,Olivia Pires,lorenzo28@example.net,Moda,Trancado,D,Feminino,53,1,5255,1,1,Casado(a),2,4,Gestão de Bibliotecas,Alana Sales,8.21,1,Excelente,Catalogação,Lucca da Cunha,4.77,9,Ruim,Leitura e Literatura,Ana Vitória Moreira,1.96,9,Ruim,Preservação de Documentos,Dra. Maria Laura Santos,6.83,1,Regular,Gestão da Informação,Dr. José Andrade,1.49,3,Ruim,1
1616,Maria Helena Sales,silvabenicio@example.com,Teatro,Trancado,C,,46,0,4747,0,0,Casado(a),3,3,Máquinas Elétricas,Sophia Novaes,4.29,4,Ruim,Circuitos Elétricos,Mariana Sá,0.1,11,Ruim,Eletrônica,Sra. Heloisa Moura,2.33,0,Ruim,Transformadores,Augusto Ramos,0.23,7,Ruim,Sistemas Elétricos,Catarina Rios,8.88,5,Bom,0
1617,Nicolas Rios,antonio24@example.net,Teatro,Concluso,C,Masculino,30,1,-9239,0,1,Solteiro(a),5,2,Comportamento do Consumidor,Clara Silveira,6.69,11,Ruim,Gestão de Marketing,Luigi Azevedo,3.71,4,Ruim,Pesquisa de Mercado,Eduarda Oliveira,7.23,2,Bom,Publicidade,Lorena Marques,5.73,3,Regular,Marketing Digital,João Felipe Montenegro,3.3,2,Ruim,0
1618,Laís Pinto,aparecidaarthur@example.org,Matemática,Trancado,D,Masculino,21,1,2210,0,1,Viúvo(a),8,3,Movimentos Sociais,Gael Henrique Aragão,8.01,7,Regular,Teoria Social,Kaique Marques,1.13,11,Ruim,Antropologia,Benicio Souza,4.93,5,Ruim,Sociologia Geral,João Lucas Azevedo,5.69,12,Ruim,Psicologia Social,Dra. Luísa Silveira,6.32,2,Regular,1
1619,Benjamin Marques,ian90@example.org,Administração,Trancado,D,Feminino,45,0,1285,0,0,Casado(a),1,3,Higiene e Sanidade,Benjamin Cirino,8.98,8,Regular,Tecnologia de Alimentos,Luiz Felipe Pimenta,4.64,13,Ruim,Gestão de Processos,Emilly da Paz,5.91,8,Regular,Química de Alimentos,Bruna Moreira,5.37,9,Regular,Microbiologia de Alimentos,Dr. Henry Gabriel Rezende,7.02,6,Regular,1
1620,Gabriela Mendonça,monteirogael@example.org,Administração,Matriculado,D,Outro,31,1,7493,1,1,Casado(a),6,3,Comunicação Empresarial,Ana Beatriz Lopes,8.79,6,Regular,Gestão de Escritórios,Théo Araújo,9.57,15,Ruim,Atendimento ao Cliente,Pedro Monteiro,8.05,4,Bom,Gestão de Pessoas,Isis Jesus,9.7,0,Excelente,Administração do Tempo,Ana Alves,3.84,10,Ruim,1
1621,Emanuel Garcia,caio42@example.net,Turismo,Trancado,A,Masculino,6676,0,6955,1,0,Separado(a),3,4,Comunicação e Mídia,Isis Ramos,3.96,5,Ruim,Ética Jornalística,Valentim Santos,5.89,1,Regular,Produção de Conteúdo,Luiz Miguel Nunes,8.09,10,Regular,Redação Jornalística,Raquel da Paz,2.14,11,Ruim,Edição de Vídeo,Miguel Pinto,5.29,12,Ruim,1
1622,Rael Abreu,pleao@example.com,Artes Visuais,Cancelado,B,Feminino,68,1,5425,1,0,Amasiado(a),1,1,Sistemas Operacionais,Mariah Vasconcelos,3.72,11,Ruim,Programação,Emanuella Ribeiro,4.23,6,Ruim,Banco de Dados,Liz Viana,4.51,3,Ruim,Segurança da Informação,Manuella Gomes,5.13,8,Regular,Engenharia de Software,Cauê Viana,4.53,15,Ruim,1
1623,Stephany Lima,esthersales@example.com,Educação Física,Concluso,A,Outro,36,0,875,1,0,Viúvo(a),6,2,Estruturas,Bryan Pinto,8.56,15,Ruim,Planejamento Urbano,Helena da Mota,6.21,11,Ruim,História da Arquitetura,Gabrielly Nascimento,3.84,13,Ruim,Desenho Arquitetônico,Helena Alves,8.46,14,Ruim,Construção Civil,Jade Leão,7.11,11,Ruim,1
1624,Alana Melo,otto49@example.com,Letras,Concluso,D,Masculino,68,0,9826,0,1,,1,1,Edição de Vídeo,Juan Alves,4.87,13,Ruim,Redação Jornalística,Maria Flor Rodrigues,8.32,4,Bom,Produção de Conteúdo,Yan Jesus,8.35,9,Regular,Comunicação e Mídia,Daniel Pires,5.09,12,Ruim,Ética Jornalística,Ana Julia Costela,9.12,0,Excelente,1
1625,Luiza Campos,davi-luccacamargo@example.org,Odontologia,Cancelado,D,Outro,49,0,1063,0,1,Solteiro(a),4,4,Geopolítica,Clara Pimenta,9.2,13,Ruim,Planejamento Urbano,Sr. Josué Cavalcanti,6.89,1,Regular,Cartografia,Murilo Souza,8.71,8,Regular,Geografia Humana,Hellena Silva,0.21,7,Ruim,Geografia Física,Raul Porto,1.62,1,Ruim,1
1626,Sofia Pereira,lopesmilena@example.net,Medicina,Concluso,C,Feminino,53,1,1559,1,1,Amasiado(a),8,2,Desenvolvimento de Software,Júlia Correia,3.62,3,Ruim,Sistemas de Informação Empresarial,Sra. Maria Helena Monteiro,4.97,2,Ruim,Gestão de Projetos de TI,Ana Clara Nascimento,5.34,12,Ruim,Banco de Dados,Nina da Cunha,8.42,13,Ruim,Análise de Sistemas,Ana Clara Sá,0.28,9,Ruim,1
1627,Leandro Aragão,scostela@example.com,Design Gráfico,Matriculado,B,EXIT01,25,0,1726,1,0,Divorciado(a),7,4,Gestão Ambiental,Luiz Miguel Duarte,4.63,15,Ruim,Tecnologias Ambientais,Nicole Ferreira,7.38,15,Ruim,Ecologia,Catarina Cavalcante,5.99,13,Ruim,Política Ambiental,Dr. Mathias Siqueira,4.67,12,Ruim,Sistemas de Gestão Ambiental,Emilly Correia,3.43,3,Ruim,1
1628,Sr. Bernardo Oliveira,gomesryan@example.org,Publicidade e Propaganda,Cancelado,B,Outro,23,0,7228,0,0,Casado(a),3,4,Teologia Moral,Manuela Lopes,7.68,5,Bom,História da Igreja,Vitor Gabriel Carvalho,5.19,8,Regular,Filosofia da Religião,Beatriz Sousa,5.3,12,Ruim,Exegese Bíblica,Emanuelly Martins,2.9,9,Ruim,Teologia Sistemática,João Felipe Campos,9.08,1,Excelente,0
1629,Isis Duarte,isabel50@example.com,Logística,Concluso,D,Feminino,23,0,19329320423234,1,1,Casadoo,2,3,Direito Civil,Manuella Almeida,2.45,3,Ruim,Constitucional,José Pedro Leão,5.11,15,Ruim,Direito Penal,Hellena Fonseca,7.79,3,Bom,Processo Penal,Dr. André Alves,9.25,2,Excelente,Processo Civil,Davi Ribeiro,1.72,2,Ruim,1
1630,Rhavi Costela,camila78@example.net,Administração,Cancelado,B,Outro,28,0,2820,0,1,Casado(a),3,1,Processo Civil,Brenda Pinto,4.54,0,Ruim,Processo Penal,Ana Vitória Cassiano,0.98,11,Ruim,Direito Penal,Maria Clara Moreira,4.38,3,Ruim,Direito Civil,Lunna Brito,7.06,3,Bom,Constitucional,Dra. Emanuelly Ribeiro,9.35,3,Excelente,0
1631,Otávio Cavalcanti,jporto@example.net,Farmácia,Cancelado,A,Feminino,39,1,2627,0,0,Solteiro(a),8,4,Gestão de Eventos de Dança,Diogo Vieira,0.78,4,Ruim,Dança Contemporânea,Isis Santos,1.13,9,Ruim,Técnicas de Dança,Emilly Rocha,7.88,14,Ruim,Coreografia,Dr. Murilo Camargo,1.59,7,Ruim,História da Dança,Valentim Correia,1.95,12,Ruim,0
1632,Carlos Eduardo Aparecida,luisacampos@example.org,Educação Física,Matriculado,A,Outro,69,0,3534,1,1,Amasiado(a),5,3,Protocolos de Comunicação,Ana Carolina Cavalcanti,7.42,6,Regular,Segurança em Redes,Dr. Pedro Miguel Teixeira,7.35,9,Regular,Administração de Redes,Bella Melo,3.64,13,Ruim,Redes de Dados,João Miguel Leão,7.09,0,Bom,Arquitetura de Redes,Dr. Kevin Pimenta,8.25,0,Excelente,1
1633,Sr. Benicio Almeida,wcostela@example.net,Engenharia Civil,Matriculado,D,Outro,59,0,6636,0,0,Viúvo(a),1,2,Sistemas Operacionais,Valentina Pacheco,5.36,15,Ruim,Engenharia de Software,Léo Fernandes,7.94,3,Bom,Banco de Dados,Enrico Pacheco,7.71,12,Ruim,Programação,Anna Liz da Conceição,4.72,11,Ruim,Segurança da Informação,Vitor Gabriel Pires,8.09,12,Ruim,0
1634,José Pedro Garcia,leandromelo@example.com,Artes Visuais,Concluso,C,Masculino,49,0,7539,0,1,Casado(a),8,2,Desenvolvimento de Software,Júlia Correia,1.76,6,Ruim,Sistemas de Informação Empresarial,Sra. Maria Helena Monteiro,1.74,1,Ruim,Gestão de Projetos de TI,Ana Clara Nascimento,3.57,9,Ruim,Banco de Dados,Nina da Cunha,9.9,14,Ruim,Análise de Sistemas,Ana Clara Sá,1.37,9,Ruim,1
1635,Dr. Thiago Barros,mouramarina@example.net,Artes Visuais,Cancelado,C,Feminino,35,0,6560,0,0,Solteiro(a),7,4,Planejamento de Turismo,Manuella Cunha,3.97,13,Ruim,Marketing Turístico,Enzo Montenegro,6.47,13,Ruim,História do Turismo,Kaique Sales,7.52,10,Regular,Turismo Cultural,Sra. Ana Beatriz Gonçalves,8.59,1,Excelente,Gestão de Turismo,Amanda Gonçalves,1.61,2,Ruim,0
1636,Ayla Cardoso,ada-paz@example.com,Biblioteconomia,Cancelado,D,Masculino,18,1,8167,1,1,Solteiro(a),4,4,Geopolítica,Clara Pimenta,7.39,6,Regular,Planejamento Urbano,Sr. Josué Cavalcanti,9.88,6,Regular,Cartografia,Murilo Souza,0.84,1,Ruim,Geografia Humana,Hellena Silva,1.87,9,Ruim,Geografia Física,Raul Porto,6.54,5,Regular,1
1637,Sra. Maya Nascimento,beatrizjesus@example.org,Banco de Dados,Trancado,A,Outro,44,1,7226,0,1,Solteiro(a),2,4,Estruturas de Dados,Rafael Aparecida,8.45,0,Excelente,Sistemas Distribuídos,Mateus Novais,5.11,12,Ruim,Inteligência Artificial,Pietra Abreu,4.15,10,Ruim,Algoritmos,Bryan Pinto,8.3,1,Excelente,Redes de Computadores,Ana Clara Cardoso,0.83,12,Ruim,1
1638,Alana Jesus,noahcamargo@example.net,Cinema,Matriculado,C,Femeadoa,um,0,5827,1,0,Casado(a),5,2,Comportamento do Consumidor,Clara Silveira,9.06,1,Excelente,Gestão de Marketing,Luigi Azevedo,3.64,9,Ruim,Pesquisa de Mercado,Eduarda Oliveira,6.51,0,Regular,Publicidade,Lorena Marques,7.77,12,Ruim,Marketing Digital,João Felipe Montenegro,7.88,2,Bom,1
1639,Srta. Ana Liz Pinto,portotheodoro@example.net,Letras,Cancelado,B,Outro,32,0,5338,0,1,Casado(a),7,2,Marketing Digital,Mathias Souza,1.1,5,Ruim,Comunicação Publicitária,Maria Eduarda Monteiro,0.86,3,Ruim,Comportamento do Consumidor,Ana Laura Nascimento,7.74,7,Regular,Relações Públicas,Dr. Otto Cardoso,2.36,15,Ruim,Publicidade Criativa,Asafe Ribeiro,8.71,10,Regular,1
1640,Pietra Silva,theo21@example.net,Engenharia de Alimentos,Concluso,B,Feminino,32,0,1466,1,1,Divorciado(a),1,2,Zoologia,Clarice Pires,2.79,5,Ruim,Botânica,Sophia Pires,2.49,6,Ruim,Ecologia,Cauã Silva,9.57,15,Ruim,Biologia Celular,Sr. Thiago Viana,5.94,15,Ruim,Genética,Bruna Martins,6.5,11,Ruim,1
1641,Júlia Macedo,maria-laura76@example.org,Odontologia,Concluso,A,Feminino,62,0,4833,0,0,Amasiado(a),5,3,Protocolos de Comunicação,Ana Carolina Cavalcanti,0.81,10,Ruim,Segurança em Redes,Dr. Pedro Miguel Teixeira,4.45,14,Ruim,Administração de Redes,Bella Melo,4.27,5,Ruim,Redes de Dados,João Miguel Leão,9.39,12,Ruim,Arquitetura de Redes,Dr. Kevin Pimenta,7.89,10,Regular,0
1642,Sr. Alexandre da Rosa,agoncalves@example.org,Recursos Humanos,Cancelado,A,Feminino,62,0,1646,1,1,Divorciado(a),1,1,Preservação de Documentos,Maria Alice Fernandes,4.41,7,Ruim,Documentação Digital,Mariana Pires,9.78,4,Bom,Teoria Arquivística,Srta. Eduarda Freitas,0.32,10,Ruim,Arquivos Públicos,Daniel Almeida,5.06,5,Regular,Gestão de Arquivos,Lorenzo Almeida,9.95,0,Excelente,1
1643,Eloah da Cruz,gmachado@example.net,Veterinária,Concluso,B,Masculino,25,1,1929,0,0,Viúvo(a),7,1,Desenvolvimento de Software,Bernardo Correia,9.47,8,Regular,Análise de Sistemas,Igor Moraes,4.97,13,Ruim,Banco de Dados,Dr. Fernando Novaes,2.46,2,Ruim,Gestão de Projetos de TI,João Gabriel Abreu,9.37,15,Ruim,Sistemas de Informação Empresarial,Dra. Helena Gomes,2.87,15,Ruim,1
1644,Benicio da Rosa,josue74@example.net,Ciências Econômicas,Concluso,C,Outro,24,1,7494,1,0,naoencontrado,8,3,Marketing e Vendas,Maria Machado,6.66,14,Ruim,Gestão de Estoques,Dr. Calebe Camargo,5.55,3,Regular,Gestão de Relacionamento,Srta. Ana Carolina Guerra,7.89,6,Regular,Gestão de Vendas,Rhavi Vieira,2.45,9,Ruim,Comportamento do Consumidor,Nicole Gomes,3.87,14,Ruim,0
1645,Melissa Montenegro,zoe12@example.org,Ciências Contábeis,Matriculado,B,naoreconhecido,57,0,3493,1,0,Solteiro(a),7,2,Marketing Digital,Mathias Souza,2.76,11,Ruim,Comunicação Publicitária,Maria Eduarda Monteiro,7.14,0,Bom,Comportamento do Consumidor,Ana Laura Nascimento,3.41,1,Ruim,Relações Públicas,Dr. Otto Cardoso,3.75,12,Ruim,Publicidade Criativa,Asafe Ribeiro,8.88,2,Excelente,0
1646,João Guilherme Casa Grande,alexandreborges@example.net,Letras,Cancelado,B,Outro,numero,1,3994,0,0,Divorciado(a),1,3,Psicologia Geral,Luan Vieira,1.19,8,Ruim,Psicologia Social,Sr. Cauã Vieira,6.59,9,Regular,Psicologia do Desenvolvimento,Asafe Dias,1.8,5,Ruim,Teorias da Personalidade,Ana da Rosa,2.05,8,Ruim,Psicopatologia,Lívia Costela,3.37,13,Ruim,1
1647,Lara Sousa,marcelo55@example.org,Marketing,Trancado,D,Outro,um,0,5770,0,1,Separado(a),8,4,Composição Musical,Benicio Novaes,4.75,14,Ruim,História da Música,Cauê Sales,5.09,9,Regular,Prática Instrumental,Laís Guerra,4.86,1,Ruim,Arranjo Musical,Clarice da Mota,4.47,3,Ruim,Teoria Musical,Ian Farias,0.74,11,Ruim,1
1648,Augusto Martins,teixeiraasafe@example.org,Turismo,Matriculado,C,Masculino,44,1,3791,0,0,Amasiado(a),7,2,Economia Internacional,Vitória Carvalho,2.5,14,Ruim,Política Internacional,Allana Albuquerque,7.26,11,Ruim,Teoria das Relações Internacionais,Gael Freitas,7.11,15,Ruim,Geopolítica,Dr. Calebe Pires,5.25,4,Regular,Direitos Humanos,Srta. Maya Garcia,0.06,4,Ruim,1
1649,Benício Cavalcanti,rhaviribeiro@example.com,Arquitetura e Urbanismo,Cancelado,A,Feminino,55,1,7209,0,0,,8,3,Preservação de Documentos,Sr. Anthony Gabriel das Neves,1.68,11,Ruim,Gestão da Informação,Rebeca Correia,9.59,9,Regular,Leitura e Literatura,Daniela Silva,3.66,12,Ruim,Gestão de Bibliotecas,Ana Vitória Martins,1.11,1,Ruim,Catalogação,Bryan Montenegro,0.89,9,Ruim,1
1650,Luiz Felipe Araújo,hfreitas@example.org,Engenharia de Produção,Cancelado,C,Masculino,32,0,4660,1,1,Casado(a),5,4,Gestão de Projetos,Marcela Dias,1.47,2,Ruim,Gestão de Políticas Públicas,João Vieira,9.38,5,Bom,Administração Pública,Clara da Mata,5.9,0,Regular,Gestão de Pessoas,Aylla Ferreira,5.81,2,Regular,Finanças Públicas,Juan Ribeiro,5.31,13,Ruim,1
1651,Maria Helena Cassiano,guerraluiz-fernando@example.org,Geografia,Cancelado,B,Masculino,,0,7687,1,0,Casado(a),7,4,Gestão Ambiental,Luiz Miguel Duarte,8.75,3,Excelente,Tecnologias Ambientais,Nicole Ferreira,3.17,4,Ruim,Ecologia,Catarina Cavalcante,2.23,8,Ruim,Política Ambiental,Dr. Mathias Siqueira,1.65,5,Ruim,Sistemas de Gestão Ambiental,Emilly Correia,1.03,10,Ruim,1
1652,Antony Teixeira,ana-liz64@example.org,Ciências Contábeis,Matriculado,C,Outro,39,0,7832,1,0,Amasiado(a),4,1,Segurança da Informação,Joaquim Carvalho,6.73,15,Ruim,Programação,Diogo da Cruz,3.06,15,Ruim,Banco de Dados,Sr. Cauã Albuquerque,8.78,1,Excelente,Sistemas Operacionais,João Ferreira,1.19,4,Ruim,Engenharia de Software,Cauê Fonseca,9.05,15,Ruim,1
1653,Ana Luiza Viana,ana-liz70@example.com,Gestão Pública,Trancado,B,Outro,45,0,7103,1,1,Amasiado(a),2,2,Reabilitação Fonoaudiológica,Otávio Porto,6.37,8,Regular,Audiologia,Noah Ribeiro,6.57,4,Regular,Anatomia e Fisiologia,Sra. Sophie das Neves,5.76,15,Ruim,Psicologia do Desenvolvimento,Lívia Sales,3.68,13,Ruim,Fonologia,Benicio Gomes,2.09,8,Ruim,1
1654,Heloísa Siqueira,lmendes@example.org,Biblioteconomia,Trancado,D,Feminino,23,0,1122,0,1,Amasiado(a),5,4,Anatomia Dental,Henry Peixoto,5.36,7,Regular,Implantes,Sr. Oliver Marques,2.08,10,Ruim,Periodontia,Mathias Peixoto,7.48,8,Regular,Radiologia Odontológica,Josué Fogaça,3.24,6,Ruim,Clínica Odontológica,Ana Vitória Castro,3.75,13,Ruim,1
1655,Srta. Vitória Andrade,malmeida@example.com,Arquivologia,Matriculado,D,Feminino,58,1,9212,0,1,Casado(a),4,4,Geopolítica,Clara Pimenta,5.77,1,Regular,Planejamento Urbano,Sr. Josué Cavalcanti,4.19,5,Ruim,Cartografia,Murilo Souza,7.01,9,Regular,Geografia Humana,Hellena Silva,2.41,6,Ruim,Geografia Física,Raul Porto,2.25,5,Ruim,1
1656,Maria Jesus,clarice41@example.net,Hotelaria,Concluso,A,Masculino,21,1,3212,0,1,Separado(a),1,4,Hospitalidade,Rafael Siqueira,0.81,11,Ruim,Gestão de Hotelaria,Leandro Souza,0.73,7,Ruim,Marketing de Hotelaria,Emanuella da Conceição,2.66,8,Ruim,Gestão de Alimentos e Bebidas,Ana Liz Novais,1.03,9,Ruim,Gestão de Hospedagem,Mathias Mendonça,6.01,15,Ruim,1
1657,Dra. Ana Laura Montenegro,moreiraluisa@example.org,Banco de Dados,Matriculado,A,Outro,58,1,7391,0,0,Solteiro(a),2,4,Estruturas de Dados,Rafael Aparecida,7.01,2,Bom,Sistemas Distribuídos,Mateus Novais,8.17,9,Regular,Inteligência Artificial,Pietra Abreu,9.02,8,Regular,Algoritmos,Bryan Pinto,3.79,5,Ruim,Redes de Computadores,Ana Clara Cardoso,3.17,10,Ruim,0
1658,Otávio da Conceição,luiz-felipe76@example.org,Teatro,Matriculado,C,Feminino,999,1,4963,0,0,Amasiado(a),8,2,Desenvolvimento de Software,Júlia Correia,9.39,15,Ruim,Sistemas de Informação Empresarial,Sra. Maria Helena Monteiro,1.74,10,Ruim,Gestão de Projetos de TI,Ana Clara Nascimento,9.19,2,Excelente,Banco de Dados,Nina da Cunha,0.87,3,Ruim,Análise de Sistemas,Ana Clara Sá,3.86,11,Ruim,1
1659,Bianca Vieira,maria-julia80@example.com,Jogos Digitais,Trancado,C,Outro,20,0,8250,1,1,Casado(a),2,1,Psicologia Clínica,Dr. Gustavo Garcia,7.9,5,Bom,Avaliação Terapêutica,Pietra Cardoso,9.88,14,Ruim,Fisioterapia,Sophia Sousa,9.39,10,Regular,Técnicas de Reabilitação,Luiz Fernando Camargo,2.0,8,Ruim,Desenvolvimento Humano,Isabella Sá,9.68,2,Excelente,1
